filename,top_labels
nn01a_20180929_000000_segment_1019.wav,"[(np.str_('""Cricket""'), 0.7045899629592896), (np.str_('""Insect""'), 0.6956871151924133), (np.str_('""Animal""'), 0.15229882299900055), (np.str_('""Patter""'), 0.08167795091867447), (np.str_('""Outside'), 0.03536093980073929)]"
nn01a_20180929_000000_segment_102.wav,"[(np.str_('""Frog""'), 0.2544473111629486), (np.str_('""Owl""'), 0.2046302855014801), (np.str_('""Animal""'), 0.16176581382751465), (np.str_('""Cricket""'), 0.16006813943386078), (np.str_('""Insect""'), 0.15781572461128235)]"
nn01a_20180929_000000_segment_1020.wav,"[(np.str_('""Cricket""'), 0.5473974347114563), (np.str_('""Insect""'), 0.5365743637084961), (np.str_('""Animal""'), 0.1879616230726242), (np.str_('""Patter""'), 0.04997631534934044), (np.str_('""Horse""'), 0.04886116832494736)]"
nn01a_20180929_000000_segment_1021.wav,"[(np.str_('""Animal""'), 0.3613247275352478), (np.str_('""Cricket""'), 0.253253698348999), (np.str_('""Insect""'), 0.24162569642066956), (np.str_('""Horse""'), 0.21294726431369781), (np.str_('""Clip-clop""'), 0.1815573275089264)]"
nn01a_20180929_000000_segment_1022.wav,"[(np.str_('""Cricket""'), 0.35123252868652344), (np.str_('""Insect""'), 0.3160000741481781), (np.str_('""Animal""'), 0.17920973896980286), (np.str_('""Horse""'), 0.07556162029504776), (np.str_('""Outside'), 0.05675836279988289)]"
nn01a_20180929_000000_segment_1023.wav,"[(np.str_('""Insect""'), 0.3834781348705292), (np.str_('""Cricket""'), 0.371645450592041), (np.str_('""Animal""'), 0.2277294099330902), (np.str_('""Horse""'), 0.07360712438821793), (np.str_('""Outside'), 0.0675399973988533)]"
nn01a_20180929_000000_segment_1024.wav,"[(np.str_('""Insect""'), 0.4419633746147156), (np.str_('""Cricket""'), 0.42528223991394043), (np.str_('""Animal""'), 0.26669561862945557), (np.str_('""Horse""'), 0.13138076663017273), (np.str_('""Clip-clop""'), 0.10338340699672699)]"
nn01a_20180929_000000_segment_1025.wav,"[(np.str_('""Insect""'), 0.43253517150878906), (np.str_('""Cricket""'), 0.40223589539527893), (np.str_('""Animal""'), 0.24703548848628998), (np.str_('""Horse""'), 0.11088678240776062), (np.str_('""Clip-clop""'), 0.09462190419435501)]"
nn01a_20180929_000000_segment_1026.wav,"[(np.str_('""Animal""'), 0.3872154653072357), (np.str_('""Horse""'), 0.2858102023601532), (np.str_('""Clip-clop""'), 0.2244296669960022), (np.str_('""Outside'), 0.10356482863426208), (np.str_('""Cricket""'), 0.08861880749464035)]"
nn01a_20180929_000000_segment_1027.wav,"[(np.str_('""Insect""'), 0.43128514289855957), (np.str_('""Cricket""'), 0.41742873191833496), (np.str_('""Animal""'), 0.2392680048942566), (np.str_('""Horse""'), 0.08834968507289886), (np.str_('""Clip-clop""'), 0.08738542348146439)]"
nn01a_20180929_000000_segment_1028.wav,"[(np.str_('""Cricket""'), 0.4521689713001251), (np.str_('""Insect""'), 0.44744864106178284), (np.str_('""Animal""'), 0.27265042066574097), (np.str_('""Horse""'), 0.13231126964092255), (np.str_('""Clip-clop""'), 0.12843555212020874)]"
nn01a_20180929_000000_segment_1029.wav,"[(np.str_('""Insect""'), 0.5202562212944031), (np.str_('""Cricket""'), 0.48676973581314087), (np.str_('""Animal""'), 0.23498214781284332), (np.str_('""Horse""'), 0.06165967136621475), (np.str_('""Speech""'), 0.05193749815225601)]"
nn01a_20180929_000000_segment_103.wav,"[(np.str_('""Frog""'), 0.2568572461605072), (np.str_('""Animal""'), 0.24979422986507416), (np.str_('""Owl""'), 0.17147447168827057), (np.str_('""Cricket""'), 0.1307007372379303), (np.str_('""Insect""'), 0.12290352582931519)]"
nn01a_20180929_000000_segment_1030.wav,"[(np.str_('""Insect""'), 0.591153621673584), (np.str_('""Cricket""'), 0.5717661380767822), (np.str_('""Animal""'), 0.17698314785957336), (np.str_('""Patter""'), 0.07092179358005524), (np.str_('""Horse""'), 0.06590265035629272)]"
nn01a_20180929_000000_segment_1031.wav,"[(np.str_('""Insect""'), 0.4575265347957611), (np.str_('""Cricket""'), 0.4437641203403473), (np.str_('""Animal""'), 0.19688613712787628), (np.str_('""Horse""'), 0.0832548663020134), (np.str_('""Clip-clop""'), 0.06452024728059769)]"
nn01a_20180929_000000_segment_1032.wav,"[(np.str_('""Insect""'), 0.5385227799415588), (np.str_('""Cricket""'), 0.5369133949279785), (np.str_('""Animal""'), 0.17340141534805298), (np.str_('""Horse""'), 0.07417938113212585), (np.str_('""Clip-clop""'), 0.06840869784355164)]"
